pair_id,system,human_overall
2021956,agent,4
1456690,nn,2
1763,historical,4
1756316,historical,3
1443393,historical,3
2041144,agent,5
1285701,nn,2
1947821,agent,4
1708457,agent,4
2448372,agent,3
2862198,historical,4
1896889,nn,3
1763773,agent,4
1650182,nn,5
1142061,historical,3
622654,nn,5
1085252,historical,3
585945,agent,5
2677459,historical,3
1758946,historical,5
892836,historical,4
2013821,nn,1
690416,agent,4
2484322,historical,3
1700909,nn,3
603242,agent,4
706909,nn,3
1230337,agent,4
545205,agent,4
2555303,historical,4
332105,nn,3
2230025,agent,3
53541,nn,3
2020322,nn,4
2066407,nn,4
1097741,historical,4
